
58,"Князь тьмы с задней парты","Ichiban Ushiro no Daimaou",#✅
59,"Стальной алхимик: Братство","FullMetal Alchemist: Brotherhood",#✅
60,"Подручный Луизы-Нулизы","Zero no Tsukaima",#✅
61,"Школа мертвецов","Highschool of the Dead",#✅
62,"Код Гиас: Восстание Лелуша","Code Geass: Lelouch of the Rebellion",#✅
63,"Связанные Небом","Yosuga no Sora",#✅
64,"Ария по прозвищу Алая Пуля","Hidan no Aria",#✅
65,"Я братишку своего не люблю совсем-совсем!","Onii-chan no Koto Nanka Zenzen Suki Janaindakara ne!!",#✅
66,"Стальной алхимик: Премиум коллекция","Fullmetal Alchemist: Premium Collection",#✅
67,"Подручный Луизы-Нулизы: Рыцарь двух Лун","Zero no Tsukaima: Futatsuki no Kishi",#✅
68,"ТораДора!","Toradora!",#✅
69,"Дневник будущего","Mirai Nikki",#✅
70,"Подручный Бездарной Луизы ТВ-4","Zero No Tsukaima F",#✅
71,"Иная","Another",#✅
72,"Готика","GOSICK",#✅
73,"Загадочная девушка Икс","Nazo no Kanojo X",#✅
74,"Вот почему без Эроса жизнь мне не мила!","Dakara Boku wa, H ga Dekinai!",#✅
75,"История Семьи Аркана","Arcana Famiglia",#✅
76,"Взрыв!","Btooom!",#✅
77,"Монстр за соседней партой","Tonari no Kaibutsu-kun",#✅
78,"Ёрмунганд 2: Идеальный порядок","Jormungand: Perfect Order",#✅
79,"Ёрмунганд","Jormungand",#✅
80,"Пламенный взор Шаны ТВ-1","Shakugan no Shana",#✅
81,"Буря потерь","Zetsuen no Tempest",#✅
82,"Маленькие проказники","Little Busters!",#✅
83,"Герои забытых времён","Aoi Sekai no Chuushin de",#✅
84,"Кошечка из Сакурасо","Sakurasou no Pet na Kanojo",#✅
85,"Стальной алхимик: Братство: Священная звезда Милоса","Fullmetal Alchemist: The Sacred Star of Milos",#✅
86,"Школа мертвецов: Мёртвые бродяги","Highschool of the Dead: Drifters of the Dead",#✅
87,"Вот почему без Эроса жизнь мне не мила! OVA","Dakara Boku wa, H ga Dekinai! OVA",#✅
88,"Наследник Дьявола","Devil Survivor",#✅
89,"Нахальный принц и кошка-несмеяна","Hentai Ouji to Warawanai Neko",#✅
90,"Розовая пора моей школьной жизни сплошной обман","Yahari Ore no Seishun Love Comedy wa Machigatteiru",#✅
91,"Сатана на подработке!","Hataraku Maou-sama!",#✅
92,"Легенда о легендарных героях","Densetsu no Yuusha no Densetsu",#✅
93,"Кровавый парень","Blood Lad",#✅
94,"Несокрушимая механическая кукла","Unbreakable Machine Doll",#✅
95,"Корона грешника","Guilty Crown",#✅
96,"ГигаРоуд - Пылающий защитник человечества","Neppu Kairiku Bushi Road",#✅
97,"Мастера меча онлайн","Sword Art Online",#✅
98,"Синий экзорцист","Ao no Exorcist",#✅
99,"Бездомный Бог","Noragami",#✅
100,"Волшебный учитель Нэгима!","Magic Teacher Negima!",#✅
101,"Нет игры — нет жизни","No Game No Life",#✅
102,"Если бы я сломал её флаг...","Kanojo ga Flag o Oraretara",#✅
103,"Черная Пуля","Black Bullet",#✅
104,"И всё-таки мир прекрасен","Soredemo Sekai wa Utsukushii",#✅
105,"За Гранью","Kyoukai no Kanata",#✅
106,"Дьявольские возлюбленные","Diabolik Lovers",#✅
107,"Бездомный Бог OVA","Noragami OVA",#✅
108,"Токийский Гуль","Tokyo Ghoul",#✅
109,"Хантер Х Хантер","Hunter X Hunter Remake",#✅
110,"Эхо террора","Zankyou no Terror",#✅
111,"Непутёвый ученик в школе магии","Mahouka Koukou no Rettousei",#✅
112,"Брунгильда во тьме","Gokukoku no Brynhildr",#✅
113,"Убийца Акаме!","Akame ga Kill!",#✅
114,"Тринити: Семеро магов","Trinity Seven",#✅
115,"Идеальная пара","Absolute Duo",#✅
116,"Паразит: Учение о жизни","Kiseijuu: Sei no Kakuritsu",#✅
117,"Песнь проклятия для святого рыцаря","Seiken Tsukai no World Break",#✅
118,"Невероятное приключение ДжоДжо","JoJo no Kimyou na Bouken",#✅
119,"Невероятное приключение ДжоДжо: Рыцари звёздной пыли","JoJo no Kimyou na Bouken: Stardust Crusaders",#✅
120,"Натюрморт в серых тонах","Grisaia no Kajitsu",#✅
121,"Помолвлена с незнакомцем","Mikakunin de Shinkoukei",#✅
122,"Последний серафим","Owari no Seraph",#✅
123,"Может, я встречу тебя в подземелье?","Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka",#✅
124,"Эдем в серых тонах","Grisaia no Rakuen",#✅
125,"Розовая пора моей школьной жизни сплошной обман 2","Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku 2",#✅
126,"Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2","JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt Hen",#✅
127,"Великолепный парк Амаги","Amagi Brilliant Park",#✅
128,"Инструктор боевых магов","Kuusen Madoushi Kouhosei no Kyoukan",#✅
129,"Повелитель","Overlord",#✅
130,"Повар-боец Сома","Shokugeki no Souma",#✅
131,"Он - сильнейший учитель!","Denpa Kyoushi",#✅
132,"Война в Астериске","Gakusen Toshi Asterisk",#✅
133,"35-ый отряд Антимагической академии","Taimadou Gakuen 35 Shiken Shoutai",#✅
134,"Образец простолюдина в школе благородных девиц","Shomin Sample",#✅
135,"Бездомный Бог 2","Noragami Aragoto",#✅
136,"Доблесть рыцаря-неудачника","Rakudai Kishi no Cavalry",#✅
137,"Хроники непобедимого Бахамута","Saijaku Muhai no Bahamut",#✅
138,"Гаргантия: на просторах зелёной планеты","Suisei no Gargantia",#✅
139,"Связанные","Kiznaiver",#✅
140,"Всегда вялый Танака-кун","Tanaka-kun wa Itsumo Kedaruge",#✅
141,"Кабанери железной крепости","Koutetsujou no Kabaneri",#✅
142,"Сотня","Hundred",#✅
143,"Ванпанчмен","One-Punch Man",#✅
144,"Война в Астериске 2","Gakusen Toshi Asterisk 2nd Season",#✅
145,"Код Гиас: Отступник Акито OVA","Code Geass: Boukoku no Akito",#✅
146,"Я - Сакамото, а что?","Sakamoto Desu ga?",#✅
147,"Перезапись ТВ-1","Rewrite TV-1",#✅
148,"Связь сердец","Kokoro Connect",#✅
149,"Запретные тату","Taboo Tattoo",#✅
150,"Призрачный мир мириады цветов","Musaigen no Phantom World",#✅
151,"Ангельские ритмы!","Angel Beats!",#✅
152,"Искусство обмана","Cheating Craft",#✅
153,"Импульс мира","World Trigger",#✅
154,"Несладкая жизнь псионика Сайки Кусуо","Saiki Kusuo no Psi Nan",#✅
155,"Сводники духов: Лисьи свахи","Hu yao xiao hongniang",#✅
156,"Маг на полную ставку","Quanzhi Fashi",#✅
157,"Держащиеся за руки","Hand Shakers",#✅
158,"Перезапись ТВ-2","Rewrite TV-2",#✅
159,"Военная хроника маленькой девочки","Youjo Senki",#✅
160,"Две Звезды Онмёджи","Sousei no Onmyouji",#✅
161,"Форма голоса","Eiga Koe no Katachi",#✅
162,"Цепные хроники: Свет Геццейтаса","Chain Chronicle: Haecceitas no Hikari",#✅
163,"Аватар короля","Quan Zhi Gao Shou",#✅
164,"Тирания вооруженных девушек","Busou Shoujo Machiavellianism",#✅
165,"Волчица и пряности ТВ-2","Spice and Wolf II",#✅
166,"Заводная планета","Clockwork Planet",#✅
167,"Хроники Акаши — худшего магического преподавателя","Roku de Nashi Majutsu Koushi to Akashic Records",#✅
168,"Королева хулиганов: Девчонка уделывает парней","Kenka Banchou Otome: Girl Beats Boys",#✅
169,"Книга магии для начинающих с нуля","Zero kara Hajimeru Mahou no Sho",#✅
170,"Конец человечества. Что ты будешь делать после того, как людей не стало?","Shuumatsu Nani Shitemasuka? Isogashii Desuka? Sukutte Moratte Ii Desuka?",#✅
171,"Эроманга-сенсей","Eromanga-sensei",#✅
172,"Богиня благословляет этот прекрасный мир OVA 2","Kono Subarashii Sekai ni Shukufuku wo OVA-2",#✅
173,"Без извилин","Aho Girl",#✅
174,"Любовь и ложь","Koi to Uso",#✅
175,"Добро пожаловать в класс превосходства","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e",#✅
176,"Невеста чародея: В ожидании путеводной звезды","Mahou Tsukai no Yome",#✅
177,"Созданный в Бездне","Made in Abyss",#✅
178,"Эстетика изгнанного героя","Hagure Yuusha no Estetica",#✅
179,"В другом мире со смартфоном","Isekai wa Smartphone to Tomo ni.",#✅
180,"Серебряный защитник","Gin no Guardian",#✅
181,"В 10 сантиметрах друг от друга","Itsudatte Bokura no Koi wa 10 Centi Datta",#✅
182,"Нет игры — нет жизни: Начало","No Game No Life Zero",#✅
183,"Дьявольские возлюбленные OVA","Diabolik Lovers OVA",#✅
184,"Непутёвый ученик в школе магии: Взывающая к звёздам","Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo",#✅
185,"Невеста чародея","Mahou Tsukai no Yome",#✅
186,"Серебряный защитник ТВ-2","Gin no Guardian TV-2",#✅
187,"Марш смерти под рапсодию параллельного мира","Death March kara Hajimaru Isekai Kyousoukyoku",#✅
188,"Кровопийцы","Bloodivores",#✅
189,"Праздник кукол","Hinamatsuri",#✅
190,"Несладкая жизнь псионика Сайки Кусуо 2","Saiki Kusuo no Sainan",#✅
191,"Аватар Короля: Спецвыпуски","Quanzhi Gaoshou: Tebie Pian",#✅
192,"Повелитель тьмы: Другая история мира — Магия подчинения","Isekai Maou to Shoukan Shoujo no Dorei Majutsu",#✅
193,"Предводитель Рагнарёка и Покровитель Валькирий","Hyakuren no Haou to Seiyaku no Valkyria",#✅
194,"Плеяда семи звёзд","Shichisei no Subaru",#✅
195,"Ангел кровопролития","Satsuriku no Tenshi",#✅
196,"Признания","Tsurezure Children",#✅
197,"Уж не зомби ли это? ","Kore wa Zombie desuka?",#✅
198,"Дьявольские возлюбленные: Больше крови","Diabolik Lovers More, Blood",#✅
199,"Убийца гоблинов","Goblin Slayer",#✅
200,"Семерка Тринити: Вечная библиотека и Девушка алхимик","Trinity Seven Eternity Library & Alchemic Girl",#✅
201,"Эроманга-сенсей OVA","Eromanga-sensei OVA",#✅
202,"Этот глупый свин не понимает мечту девочки-зайки","Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai",#✅
203,"Радиант","Radiant",#✅
204,"Рыцари и Магия","Knight's & Magic",#✅
205,"О моём перерождении в слизь","Tensei Shitara Slime Datta Ken",#✅
206,"Обещанный Неверленд","Yakusoku no Neverland TV-1",#✅
207,"Домашняя Девушка","Domestic na Kanojo",#✅
208,"Госпожа Кагуя: В любви как на войне","Kaguya-sama wa Kokurasetai: Tensai-tachi no Ren`ai Zunousen",#✅
209,"Невероятное приключение ДжоДжо: Несокрушимый алмаз","JoJo no Kimyou na Bouken: Diamond wa Kudakenai",#✅
210,"Печать ветра","Kaze no Stigma",#✅
211,"Кабанери железной крепости: Битва за Унато","Koutetsujou no Kabaneri: Unato Kessen",#✅
212,"Дороро","Dororo",#✅
213,"Восхождение Героя щита","Tate no Yuusha no Nariagari",#✅
214,"Внук мудреца","Kenja no Mago",#✅
215,"Стальной алхимик: Братство: Завоеватель Шамбалы","Fullmetal Alchemist The Movie: Conqueror of Shamballa"росмотрено
216,"Невероятное приключение ДжоДжо: Золотой ветер","JoJo's Bizarre Adventure: Golden Wind",#✅
217,"Может, я встречу тебя в подземелье? 2","Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II"росмотрено
218,"Арифурэта: Сильнейший ремесленник в мире","Arifureta Shokugyou de Sekai Saikyou TV-1",#✅
219,"Клинок, рассекающий демонов","Kimetsu no Yaiba"росмотрено
220,"Маг-обманщик из другого мира","Isekai Cheat Magician",#✅
221,"Ради своей дочери я смогу победить даже короля демонов","Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai"росмотрено
222,"Доктор Стоун","Dr. Stone",#✅
223,"Пламенная бригада пожарных","Enen no Shouboutai TV-1",#✅
224,"Король демонов, попытайтесь снова!","Maou-sama, Retry!",#✅
225,"Военная хроника маленькой девочки: Фильм","Gekijouban Youjo Senki",#✅
226,"Этот герой неуязвим, но очень осторожен","Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru",#✅
227,"Ты единственная, кто любит Великого Меня?!","Ore wo Suki na no wa Omae Dake ka yo",#✅
228,"Лазурный путь","Azur Lane",#✅
229,"Для гениев не проблема выжить даже в ином мире","Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!",#✅
230,"Добро пожаловать в ад, Ирума!","Mairimashita! Iruma-kun",росмотрено
231,"Разве я не просила, чтобы в ином мире мои навыки были самыми обычными?","Watashi, Nouryoku wa Heikinchi dette Itta yo ne!",#✅
232,"Гордость убийцы","Assassins Pride",#✅
233,"Сомали и хранитель леса","Somali to Mori no Kamisama",#✅
234,"Грабитель","Plunderer",#✅
235,"Древо Безграничного Развития","Infinite Dendrogram",#✅
